mode,ridership,date
rail_intercity,52615.0,2022-01-01
rail_intercity,57405.0,2022-02-01
rail_intercity,69685.0,2022-03-01
rail_intercity,40753.0,2022-04-01
rail_intercity,89824.0,2022-05-01
rail_intercity,116726.0,2022-06-01
rail_intercity,121606.0,2022-07-01
rail_intercity,107909.0,2022-08-01
rail_intercity,142348.0,2022-09-01
rail_intercity,137410.0,2022-10-01
rail_intercity,106616.0,2022-11-01
rail_intercity,144801.0,2022-12-01
rail_intercity,114038.0,2023-01-01
rail_intercity,116062.0,2023-02-01
rail_intercity,129938.0,2023-03-01
rail_intercity,102008.0,2023-04-01
rail_intercity,117771.0,2023-05-01
rail_intercity,121531.0,2023-06-01
rail_intercity,119388.0,2023-07-01
rail_intercity,130094.0,2023-08-01
rail_intercity,130036.0,2023-09-01
rail_intercity,121307.0,2023-10-01
rail_intercity,126438.0,2023-11-01
rail_intercity,144339.0,2023-12-01
rail_intercity,99485.0,2024-01-01
rail_intercity,152152.0,2024-02-01
rail_intercity,107004.0,2024-03-01
rail_intercity,111059.0,2024-04-01
rail_intercity,130500.0,2024-05-01
rail_intercity,132199.0,2024-06-01
rail_intercity,121347.0,2024-07-01
rail_intercity,128585.0,2024-08-01
rail_intercity,145849.0,2024-09-01
rail_intercity,128913.0,2024-10-01
rail_intercity,117741.0,2024-11-01
rail_intercity,118940.0,2024-12-01
rail_intercity,133433.0,2025-01-01
rail_intercity,122070.0,2025-02-01
rail_intercity,89333.0,2025-03-01
rail_intercity,112140.0,2025-04-01
rail_intercity,123250.0,2025-05-01
rail_intercity,135602.0,2025-06-01
rail_intercity,116298.0,2025-07-01
rail_intercity,125877.0,2025-08-01
rail_lrt_ampang,5363000.0,2019-01-01
rail_lrt_ampang,4454115.0,2019-02-01
rail_lrt_ampang,5617697.0,2019-03-01
rail_lrt_ampang,5571821.0,2019-04-01
rail_lrt_ampang,5458497.0,2019-05-01
rail_lrt_ampang,4906864.0,2019-06-01
rail_lrt_ampang,5757222.0,2019-07-01
rail_lrt_ampang,5577557.0,2019-08-01
rail_lrt_ampang,5182224.0,2019-09-01
rail_lrt_ampang,5816211.0,2019-10-01
rail_lrt_ampang,5735068.0,2019-11-01
rail_lrt_ampang,5706946.0,2019-12-01
rail_lrt_ampang,5389518.0,2020-01-01
rail_lrt_ampang,5161307.0,2020-02-01
rail_lrt_ampang,3144777.0,2020-03-01
rail_lrt_ampang,394171.0,2020-04-01
rail_lrt_ampang,1205494.0,2020-05-01
rail_lrt_ampang,2297520.0,2020-06-01
rail_lrt_ampang,3195946.0,2020-07-01
rail_lrt_ampang,3227890.0,2020-08-01
rail_lrt_ampang,3549250.0,2020-09-01
rail_lrt_ampang,2592837.0,2020-10-01
rail_lrt_ampang,2126946.0,2020-11-01
rail_lrt_ampang,2429909.0,2020-12-01
rail_lrt_ampang,1824666.0,2021-01-01
rail_lrt_ampang,1698744.0,2021-02-01
rail_lrt_ampang,2601245.0,2021-03-01
rail_lrt_ampang,2705960.0,2021-04-01
rail_lrt_ampang,1799251.0,2021-05-01
rail_lrt_ampang,731375.0,2021-06-01
rail_lrt_ampang,824844.0,2021-07-01
rail_lrt_ampang,1061950.0,2021-08-01
rail_lrt_ampang,1557367.0,2021-09-01
rail_lrt_ampang,2034527.0,2021-10-01
rail_lrt_ampang,2392406.0,2021-11-01
rail_lrt_ampang,2706638.0,2021-12-01
rail_lrt_ampang,2828567.0,2022-01-01
rail_lrt_ampang,2171266.0,2022-02-01
rail_lrt_ampang,2693615.0,2022-03-01
rail_lrt_ampang,3228674.0,2022-04-01
rail_lrt_ampang,3339042.0,2022-05-01
rail_lrt_ampang,4344595.0,2022-06-01
rail_lrt_ampang,4266733.0,2022-07-01
rail_lrt_ampang,4293066.0,2022-08-01
rail_lrt_ampang,4286962.0,2022-09-01
rail_lrt_ampang,4259135.0,2022-10-01
rail_lrt_ampang,3963991.0,2022-11-01
rail_lrt_ampang,4475686.0,2022-12-01
rail_lrt_ampang,4319239.0,2023-01-01
rail_lrt_ampang,3616881.0,2023-02-01
rail_lrt_ampang,4308679.0,2023-03-01
rail_lrt_ampang,3338686.0,2023-04-01
rail_lrt_ampang,4094851.0,2023-05-01
rail_lrt_ampang,4143689.0,2023-06-01
rail_lrt_ampang,4237733.0,2023-07-01
rail_lrt_ampang,4482065.0,2023-08-01
rail_lrt_ampang,4282036.0,2023-09-01
rail_lrt_ampang,4633424.0,2023-10-01
rail_lrt_ampang,4572190.0,2023-11-01
rail_lrt_ampang,4561106.0,2023-12-01
rail_lrt_ampang,4505943.0,2024-01-01
rail_lrt_ampang,4430513.0,2024-02-01
rail_lrt_ampang,5196908.0,2024-03-01
rail_lrt_ampang,4894934.0,2024-04-01
rail_lrt_ampang,5607473.0,2024-05-01
rail_lrt_ampang,5196642.0,2024-06-01
rail_lrt_ampang,5626609.0,2024-07-01
rail_lrt_ampang,5781159.0,2024-08-01
rail_lrt_ampang,5365130.0,2024-09-01
rail_lrt_ampang,5918334.0,2024-10-01
rail_lrt_ampang,5718327.0,2024-11-01
rail_lrt_ampang,5780943.0,2024-12-01
rail_lrt_ampang,5583947.0,2025-01-01
rail_lrt_ampang,5412652.0,2025-02-01
rail_lrt_ampang,5755933.0,2025-03-01
